Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
Akademiet Drammen AS,59.74036097932266,10.18193216616209,985500568,,,,,,,left_only
,,,985922624,Vike montessoriskule SA,62.61915,7.1489,,,,left_only
,,,986078479,Stiftelsen steinerskolen i Arendal,58.47592,8.75454,,,,left_only
,,,986109110,Hesnes skole montessoriskolen i Grimstad,58.34352,8.61834,,,,left_only
,,,986124403,Venabygd montessoriskole,61.59399,10.0497,,,,left_only
Norges Toppidrettsgymnas Kongsvinger AS,60.19129,12.00542,986147667,,,,,,,left_only
,,,986171487,Stiftelsen International School Telemark,59.10553,9.68147,,,,left_only
,,,986256407,Holmedal montessoriskule,61.36057,5.18777,,,,left_only
Motio AS,0.0,0.0,986272208,,,,,,,left_only
,,,986615539,Andørja montessoriskole,68.91749,17.16436,,,,left_only
Briskeby videregående skole AS,0.0,0.0,986737162,,,,,,,left_only
Wang Fredrikstad AS,59.21256,10.92896,986779795,Wang Fredrikstad AS,59.21256,10.92896,,,,left_only
,,,986847367,Stiftelsen Davinci montessoriskole,0.0,0.0,,,,left_only
,,,986859659,Stiftelsen Trondheim International School,63.42935,10.41373,,,,left_only
Akademiet Vgs Bergen AS,60.38666,5.33062,986900055,,,,,,,left_only
,,,986967257,Steinkjer montessoriskole,64.01442,11.47801,,,,left_only
,,,986978070,Sandnes friskole AS,58.82388,5.71712,,,,left_only
,,,987059443,Åmås friskule,62.18221,6.19611,,,,left_only
,,,987105941,Møre barne- og ungdomsskule,62.27855,5.80714,,,,left_only
Hjerleid handverksskole AS,61.98317,9.2448,987344873,,,,,,,left_only
Prosjektskolen AS,0.0,0.0,987415371,,,,,,,left_only
Akademiet Sandnes,0.0,0.0,987546603,,,,,,,left_only
,,,987636750,Markabygda montessoriskole SA,63.63749,11.27818,,,,left_only
,,,987781475,Hosanger montessoriskule Sti,60.57019,5.48548,,,,left_only
,,,987900016,Jærtun Lutherske friskule,58.73021,5.66417,,,,left_only
,,,987919558,Solør montessoriskole,60.57507,12.07131,,,,left_only
,,,988284440,Reisa montessoriskole,69.74545,21.11146,,,,left_only
Filadelfia bibelskole,59.9178,10.73714,988421006,,,,,,,left_only
,,,988427535,Brandal friskule,62.40125,6.0061,,,,left_only
Akademiet Fredrikstad AS Privat videregående skole,59.21384,10.92913,988519480,,,,,,,left_only
Wang Toppidrett Stavanger AS,58.9546,5.70006,988586102,,,,,,,left_only
Oslo fotokunstskole AS,59.92832,10.7522,988595039,,,,,,,left_only
Bergen private gymnas AS,60.38746,5.33138,988602671,,,,,,,left_only
Akademiet Vgs Bislett AS,59.92345,10.73179,988938386,,,,,,,left_only
