Navn,Lengdegrad,Breddegrad
Uggdal skule,5.50813,60.01218
Byremo ungdomsskole,7.40537,58.42447
Tveit skule / Nissedal ungdomsskule,8.52024,59.02432
Botne skole,10.25712,59.49581
Vesong ungdomsskole,11.1314,60.07052
Alværn ungdomsskole,10.63346,59.8219
Fløysbonn ungdomsskole,10.81395,59.79618
Borkenes skole,16.18129,68.77331
Granmoen skole,13.2154,65.97702
Snåsa skole,12.36334,64.24744
Selbu ungdomsskole,11.03282,63.22683
Rommetveit skule,5.52346,59.81671
Straumen skule,5.613,59.43109
Skatval skole,10.82893,63.5096
Nardo skole,10.41769,63.40693
Ørskog skule,6.82007,62.47763
Ørland ungdomsskole,9.65652,63.68804
Valldal skule,7.26086,62.30166
Gloppen ungdomsskule,6.21715,61.77392
Hyen skule,5.91698,61.73745
Lærdalsøyri skule,7.49389,61.10115
Austevoll ungdomsskule,5.24835,60.07999
Kinsarvik skule,6.71964,60.37371
Rosendal ungdomsskule,6.0088066736316132,59.983455055234664                                      # Hentet fra Google Maps
Husnes ungdomsskule,5.74463,59.85252
Finnøy skule,5.87132,59.17441
Gransherad skole,9.02684,59.6925
Kjøsterud skole,10.13099,59.757
Smestad ungdomsskole,10.44643,61.13484
Åsbygda skole,11.3665,60.7402
Storhamar skole,11.05124,60.80121
Østersund ungdomsskole,11.16754,59.92104
Råde kommune Råde ungdomsskole,10.86462,59.35941
Råde kommune Spetalen skole,10.76827,59.29708
Grålum ungdomsskole,11.05655,59.29335
Grøtvedt skole,11.1789,59.58925
Lunde skole,7.77085,58.0965
Rindal skole,9.21118,63.05807
Gjøra oppvekstsenter avd skule,9.11275,62.54787
Raumyr skole,9.65555,59.67711
Buksnes skole,13.55528,68.1184
Bøstad skole,13.75156,68.23927
Ballstad skole,13.53908,68.08431
Leknes skole,13.62054,68.14713
Svarholt skole,13.834883904363112,68.13782284035183                                      # Hentet fra Google Maps
Fygle skole,13.64999,68.14426
Sørvågen skole,13.01661,67.88935
Røst barne- og ungdomsskole,12.11574,67.51727
Beisfjord barneskole,17.60299,68.37739
Håkvik barneskole,17.30912,68.40377
Skjomen skole,17.41188,68.24542
Laskestad skole,15.02096,67.9267
Steigenskolen Leines,14.81199,67.73592
Røsvik oppvekstsenter skole,15.45981,67.4771
Risøyhamn skole,15.63593,68.96815
Sortland ungdomsskole,15.40834,68.69791
Strand skole,15.452,68.6978
Maurnes skole,15.47177,68.75364
Sigerfjord skole,15.50767,68.64668
Holmstad skole,15.15403,68.72029
Sortland barneskole,15.40481,68.69614
Alsvåg skole,15.26491,68.90614
Myre skole,15.08635,68.91549
Evenes skole,16.88816,68.48317
Ramsund skole,16.51758759882081,68.49308811376748                                     # Hentet fra Google Maps
Drag skole,16.08107,68.0404
Innhavet oppvekstsenter avd skole,15.9327,67.96429
Oppeid skole,15.62453,68.08292
Storebø skule,5.22357,60.09504
Selbjørn skule,5.19914,60.00493
Stranda skule,5.10159,60.1973
Skogsvåg skule,5.09231,60.26031
Sund ungdomsskule,5.10271,60.19589
Landro skule,4.97116,60.41764
Skålevik skule,4.99572,60.34679
Ulveset skule,5.03714,60.3276
Knappskog skule,5.05242,60.37645
Fjell ungdomsskule,5.11118,60.35183
Kleppe skole,5.20178,60.42335
Hop skole,5.21412,60.47629
Erdal barneskole,5.22753,60.44348
Florvåg skole,5.23604,60.41962
Follese skole,5.16232,60.40811
Strusshamn skole,5.19164,60.40593
Tveit skole,5.1341450426874936,60.45341491573624                                            # Hentet fra Google Maps
Hetlevik skole,5.14915,60.42495
Haugland skole,5.15779,60.45018
Træet skule,5.07929,60.5092
Hanøy skole,5.08821,60.44782
Davanger skole,5.10131,60.47113
Fauskanger barne- og ungdomsskule,5.02959,60.52454
Straumen skole,15.59467,67.34407
Røkland skole grunnskolen,15.32742,66.99092
Rognan ungdomsskole,15.38542,67.09717
Ørnes skole,13.72422,66.86468
Spildra skole,13.72534,66.86333
Halsa skole,13.57853,66.74213
Enga skole,13.53209,66.78439
Bolga oppvekstsenter avd skole,13.2153,66.79981
Glomfjord skole,13.95832,66.81806
Jektvik skole,13.29056,66.62482
Øresvik skole,13.22467,66.46232
Rødøy skole,13.07586,66.66134
Nesøy skole,12.6454,66.59557
Tjongsfjord skole,13.41957,66.6982
Lovund skole,12.35773,66.36667
Onøy Lurøy oppvekstsenter avd skole,12.868050591327737,66.39860726684137                                      # Hentet fra Google Maps
Aldersund oppvekstsenter skole,13.11651,66.38213
Konsvik oppvekstsenter avd skole,13.08819,66.49952
Kvarøy oppvekstsenter skole,12.9606,66.48588
Sleneset oppvekstsenter skole,12.59427,66.36353
Skonseng skole,14.34473,66.35807
Utskarpen barne- og ungdomsskole,13.57111,66.29343
Hauknes skole,14.05426,66.2855
Selfors barneskole,14.18068,66.32593
Storforshei barne- og ungdomsskole,14.52777,66.40411
Gruben barneskole,14.19449,66.31876
Båsmo barneskole,14.10973,66.33529
Rana ungdomsskole,14.14679,66.31499
Finneidfjord skole,13.79157,66.18601
Hemnes sentralskole,13.6040674,66.2256853
Bleikvassli skole,13.80742,65.91619
Bjerka skole,13.83963,66.14574
Korgen sentralskole,13.80859,66.07776
Nesna skole avd Tomma,13.02311,66.19837
Nesna skole avd Nesna,13.0171,66.19917
Løkta oppvekstsenter avd skole,12.72899,66.14922
Varntresk oppvekstsenter avd skole,14.18565,65.82639
Hattfjelldal oppvekstsenter avd skole,14.00045,65.59787
Olderskog skole,13.21943,65.82323
Tverlandet oppvekstsenter Avdeling skole,12.95292,66.03119
Ulvang oppvekstsenter Avdeling skole,12.7545,66.06449
Tjøtta oppvekstsenter avd skole,12.42279,65.82224
Søvik oppvekstsenter avd skole,12.44835,65.92165
Bjarnetjønna skole,12.615048727557562,66.01658840306649                                      # Hentet fra Google Maps
Herøy skole,12.27543,65.97653
Berg skole,12.19812,65.37117
Brønnøysund barneskole,12.208967246502663,65.46664666987817                                      # Hentet fra Google Maps
Terråk skole,12.368,65.08613
Frydenlund skole,17.4166,68.44086                                       # Narvik
Dale skule,5.81922,60.59145
Eksingedalen skule,6.11285,60.78934
Stamnes skule,5.77232,60.66478
Stanghelle skule,5.74644,60.5536
Fotlandsvåg skule,5.52477,60.58831
Haus skule,5.48951,60.45533
Valestrand skule,5.436,60.50595
Osterøy ungdomsskule,5.50966,60.52307
Rossland skule,5.05319,60.56095
Grasdal skule,5.21316,60.5505
Vestbygd skule,5.16039,60.52864
Sagstad skule,5.22511,60.52102
Meland ungdomsskule,5.24603,60.51667
Rong skule,4.90228,60.51118
Manger skule,5.03791,60.64153
Sæbø skule,5.17783,60.61919
Ostereidet ungdomsskule,5.48441,60.62875
Eikanger skule,5.38892,60.60915
Seim skule,5.27156,60.61567
Lindås ungdomsskule,5.15985,60.73465
Leiknes skule,5.37883,60.57188
Knarvik barneskule,5.29144,60.55031
Lindås barneskule,5.16374,60.73411
Ostereidet barneskule,5.48338,60.62996
Årås skule,4.93545,60.77984
Kaland skule,4.99951,60.80107
Matre skule,5.58254,60.8728
Sandnes skule,5.29668,60.79212
Vik oppvekstsenter Avdeling skole,16.25846,68.73687
Flesnes oppvekstsenter avd skole,15.91578,68.67506
Skånland skole,16.58265,68.58034
Grov skole,17.12106,68.67828
Setermoen skole,18.36153,68.87419
Fagerlidal skole,18.53722,69.07445
Karlstad oppvekstsenter avd skole,18.46187,69.21309
Bjørkeng oppvekstsenter avd skole,19.29708,69.02799
Olsborg skole,18.59658,69.14934
Vikstranda skole,17.75159,69.17223
Stonglandet skole,17.18646,69.08706
Gryllefjord skole,17.04469,69.3629
Medby skole,17.04807,69.28144
Husøy skole,17.6597,69.54395
Gibostad barne- og ungdomsskole,18.06395,69.35438
Botnhamn skole grunnskole 1.-10.,17.87098,69.50106
Silsand barneskole,17.94959,69.24614
Rossfjord barne- og ungdomsskole,18.3274,69.3655
Kårvik skole,18.1824,69.39127
Trollvik skole,17.99385,69.28772
Lyngsdalen oppvekstsenter Avdeling skole,20.15143,69.44109
Hatteng skole,19.96189,69.27323
Skibotn skole,20.27876,69.38562
Flesberg skole,9.57202,59.83849
Tofte ungdomsskole,10.56413,59.54903
Sætre skole,10.53893,59.67623
Folkestad skole,10.46484,59.55173
Røren barneskole,9.87975,59.77047
Vestfossen barneskole,9.86911,59.73007
Skotselv skole,9.87983,59.84935
Darbu barneskole,9.80096,59.7007
Hokksund barneskole,9.92662,59.76673
Sysle skole,9.91535,59.99224
Stalsberg skole,9.96396,59.92257
Enger skole,9.92721,59.89192
Buskerud skole,9.88919,59.89631
Vikersund skole,9.99253,59.97387
Eggedal skole,9.35851,60.23999
Nerstad skole,9.73684,60.0021
Prestfoss skole,9.63139,60.04183
Sigdal ungdomsskole,9.63924,60.04221
Hallingskarvet skole,8.2981834329060866,60.61545071883149                                      # Hentet fra Google Maps
Ål ungdomsskule,8.55004,60.62775
Nordbygdene skule,8.48669,60.7016
Skattebøl skule,8.5221,60.61966
Torpo skule,8.72132,60.66532
Nedre-Ål skule,8.5502858333249996,60.62857125243932                                      # Hentet fra Google Maps
Hemsedal skole,8.56143,60.86221
Nesbyen skole,9.099430712003496,60.566370466291325                                      # Hentet fra Google Maps
