Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
Stiftelsen steinerskolen i Arendal,58.47592,8.75454,986078479
Stiftelsen steinerskolen i Indre Østfold,59.58636,11.12423,971638982
Stiftelsen steinerskolen i Kristiansand,58.15918,8.01523,873501162
Stiftelsen steinerskolen på Skjold,60.31017,5.32901,973448889
Stiftinga Tuddal montessoriskule,59.75579,8.78749,920292348
Stord Kristne skule AS,59.77872,5.485,923927085
Strandvik Vekst AS,60.15934,5.66499,917450064
Straumfjordnes skole,69.86909,21.21667,973935828
Sørhåland barneskole AS,59.15524,5.2353,996725936
Telemark Toppidrett ungdomsskole Porsgrunn AS,59.13965,9.67016,922093474
Telemark Toppidrett ungdomsskole Skien AS,59.21222,9.5906,915779328
The Norwegian School in London,51.4162875,-0.22649139999998624,U90099013
Tinn montessoriskole SA,60.0477,8.81899,995296713
Torderød skole Adventistkirkens grunnskole,59.43483,10.63914,976207289
Torvikbukt skule SA,62.94227,7.85887,994486977
Toten montessoriskole,60.59788,10.73428,888820132
Tresfjord Enspire skule,62.51939,7.12746,922220026
Trondheim Montessori,63.43896,10.48351,916677375
Trondheim idrettsungdomsskole AS,63.44256,10.45906,923189963
Tryggheim Strand AS,59.06734,5.92013,911687100
Tryggheim ungdomsskule,58.67356,5.63596,988968498
Trysil montessoriskole SA,61.13513,12.49708,995234181
Tverlandet montessoriskole SA,66.01369,12.91505,828643762
Tyrifjord barne- og ungdomsskole,60.06845,10.17166,876210762
Tønsberg Montessori skole Sti,59.33172,10.42432,973131621
Ulvestad barneskule AS,62.16595,5.9314,898211932
Val Skoler AS avd grunnskole,64.78575,11.42312,935814111
Valdres montessoriskule SA,60.99862,9.10145,993951439
Vatneli skole,58.8592,5.77235,976207270
Velledalen montessoriskule AS,62.29167,6.64578,995367351
Venabygd montessoriskole,61.59399,10.0497,986124403
Vigmostad skole,58.20192,7.33742,914059135
Vike montessoriskule SA,62.61915,7.1489,985922624
Vikten skole,68.13873,13.3127,973511017
Vinnes friskule,60.15304,5.58636,976831055
Voll skole AS,62.87648,9.83776,918511377
Vollan skole,62.57551,9.63438,981607228
Vårtun Kristne oppvekstsenter SA,63.74062,11.25154,975358666
Wang Fredrikstad AS,59.21256,10.92896,986779795
Wang Hamar AS,60.80167,11.03811,913391470
Wang Romerike AS,59.94674,10.95199,825308512
Wang Tønsberg AS,59.29502,10.41573,995354071
Wang Ung Follo AS,59.79930,10.82348,918530428                                                                                           # Hentet fra Google Maps
Wang Ung Oslo AS,59.92682,10.79318,913946065
Wang Ung Sandefjord AS,59.1486,10.1848,918374221
Wang Ung Sandnes AS,58.85992,5.72297,816578892
Wang Ung Stavanger AS,58.9546,5.70006,916579632
Åmot montessoriskole SA,61.30173,11.46301,915008607
Åmås friskule,62.18221,6.19611,987059443
Åse montessoriskole,69.01578,15.80737,992487186
Ølve montessoriskule SA,60.01263,5.81452,994665995
Ørsnes privatskole,68.20048,14.39505,982163277
Østmarka skole,59.89037,10.85275,976207130
Øvergård montessoriskole,69.02122,19.44755,984095961

